id,name,text,type,difficulty,xp,icon
1,Focus Master,Do two uninterrupted study sessions today,focus,medium,25,focus-master.png
2,Mindful Mover,Stretch after finishing a focus session,mindfulness,easy,10,mindful-mover.png
3,Task Slayer,Clear one item from your in progress list,tasks,medium,20,task-slayer.png
4,Goal Setter,Write one measurable goal for this week,productivity,easy,15,goal-setter.png
5,Space Organizer,Take 3 minutes to organize your study space,productivity,medium,20,space-organizer.png
6,Habit Builder,Identify one habit you'd like to build,reflection,easy,15,habit-builder.png
7,Momentum Maker,Finish three different tasks today,tasks,hard,30,momentum-maker.png
8,Prep Pro,Write down your top 3 priorities for today's study session,productivity,easy,15,prep-pro.png
9,Distraction Dodger,Keep your phone in another room while studying,focus,medium,20,distraction-dodger.png
10,Brain Break,Step away from your screen and take a 5 minute break outside,mindfulness,easy,10,brain-break.png
